cell_id,date,scenario,failure_day,load_index,sinr_db,rsrp_dbm,rsrq_db,cqi_mean,avg_rank,mcs_dl_mean,bler_dl_pct,ul_bler_pct,harq_retx_ratio,prb_util_dl_pct,ul_prb_util_pct,active_users,traffic_volume_gb,mu_mimo_ratio,rank_1_ratio,bfr_count,beam_switch_count,beam_concentration,rrc_setup_success_pct,drb_setup_success_pct,prach_success_pct,pucch_util_pct,ul_rssi_dbm,cqi_rank_gap,beam_efficiency,sinr_cqi_delta
Cell_0071,01/24/2024,beam_misalignment,-1,1.0,6.317,-83.857,-10.057,6.699,2.486,13.782,9.316,5.401,0.231,42.863,18.974,8.0,5.308,0.242,0.727,14.0,22.0,0.49,90.839,95.15,89.511,39.625,-106.719,2.694,0.136,-3.73
Cell_0071,01/25/2024,beam_misalignment,-1,0.955,5.664,-75.161,-9.206,7.659,1.701,14.072,8.756,6.838,0.21,38.804,17.379,7.0,3.335,0.309,0.706,6.0,13.0,0.427,90.606,95.48,87.276,31.991,-107.739,4.501,0.12,-5.82
Cell_0071,01/26/2024,beam_misalignment,-1,0.994,7.112,-80.227,-9.655,7.444,2.376,14.072,12.714,8.54,0.254,44.366,21.005,8.0,3.71,0.275,0.67,10.0,15.0,0.336,91.431,94.393,85.225,38.843,-97.381,3.132,0.143,-4.05
Cell_0071,01/27/2024,beam_misalignment,-1,0.825,7.111,-80.162,-10.437,7.026,1.987,14.735,20.485,5.279,0.27,34.405,17.87,5.0,3.152,0.338,0.62,8.0,15.0,0.397,90.887,91.392,85.877,33.262,-99.272,3.537,0.133,-3.43
Cell_0071,01/28/2024,beam_misalignment,-1,0.838,8.375,-82.793,-10.649,6.502,2.182,13.611,26.007,5.754,0.235,31.873,17.648,5.0,3.022,0.29,0.742,11.0,17.0,0.426,92.104,93.632,85.872,34.049,-101.491,2.979,0.117,-1.38
Cell_0071,01/29/2024,beam_misalignment,-1,0.938,7.137,-78.621,-11.468,6.862,2.468,12.621,8.893,7.952,0.202,37.189,22.122,6.0,4.197,0.298,0.745,8.0,10.0,0.51,91.338,94.995,87.697,33.619,-104.249,2.78,0.168,-3.16
Cell_0071,01/30/2024,beam_misalignment,-1,1.0,7.132,-85.157,-10.678,7.54,1.803,12.76,7.401,7.563,0.232,41.554,21.382,7.0,4.88,0.256,0.803,7.0,19.0,0.37,92.9,93.603,86.698,46.037,-102.981,4.183,0.107,-4.18
Cell_0072,01/01/2024,su_mimo_fallback,-1,0.989,20.208,-77.704,-10.588,10.511,1.389,21.731,3.595,3.054,0.073,44.918,24.446,21.0,4.055,0.116,0.919,2.0,2.0,0.624,95.388,97.72,100.0,21.836,-105.416,7.568,0.039,4.44
Cell_0072,01/02/2024,su_mimo_fallback,-1,1.0,21.06,-73.701,-10.061,11.13,1.262,20.528,3.372,4.373,0.081,50.5,30.544,27.0,3.55,0.13,0.842,2.0,3.0,0.638,97.271,95.493,97.776,22.038,-101.394,8.817,0.04,4.37
Cell_0072,01/03/2024,su_mimo_fallback,-1,1.0,18.687,-66.018,-9.497,10.333,1.22,22.684,3.483,3.511,0.062,49.781,35.024,22.0,3.711,0.111,0.948,0.0,4.0,0.693,96.435,99.154,96.62,21.296,-102.548,8.47,0.033,3.19
Cell_0072,01/04/2024,su_mimo_fallback,-1,0.967,18.987,-72.837,-9.729,12.591,1.222,20.832,4.496,3.816,0.08,44.064,32.953,23.0,3.564,0.115,0.897,4.0,5.0,0.652,96.876,96.805,97.462,20.464,-103.885,10.304,0.034,0.1
Cell_0072,01/05/2024,su_mimo_fallback,-1,0.937,19.229,-71.376,-8.909,10.563,1.245,22.277,5.75,3.336,0.078,41.567,31.348,21.0,3.367,0.133,0.883,1.0,3.0,0.505,99.131,100.0,97.208,18.529,-107.601,8.486,0.039,3.38
Cell_0072,01/06/2024,su_mimo_fallback,-1,0.813,19.371,-75.925,-10.482,11.713,1.142,21.708,5.005,3.383,0.089,46.091,28.091,17.0,2.61,0.133,0.837,2.0,4.0,0.694,96.721,97.744,98.418,16.607,-103.563,10.258,0.036,1.8
Cell_0072,01/07/2024,su_mimo_fallback,-1,0.703,20.725,-73.496,-9.817,10.639,1.229,21.829,3.971,3.336,0.079,30.162,17.824,17.0,3.111,0.095,0.903,3.0,7.0,0.686,97.961,96.664,99.819,13.943,-107.6,8.657,0.028,4.77
Cell_0072,01/08/2024,su_mimo_fallback,-1,1.0,18.544,-70.067,-10.315,11.097,1.0,20.442,4.55,4.039,0.085,46.502,27.482,22.0,4.632,0.1,0.897,1.0,4.0,0.59,98.213,98.377,98.47,20.067,-103.534,11.097,0.024,1.9
Cell_0072,01/09/2024,su_mimo_fallback,-1,1.0,20.739,-70.359,-9.011,11.162,1.14,22.599,3.742,4.231,0.096,43.439,26.361,18.0,4.391,0.134,0.813,2.0,5.0,0.737,98.023,97.217,99.783,20.346,-109.213,9.789,0.037,4.0
Cell_0072,01/10/2024,su_mimo_fallback,-1,1.0,21.497,-71.834,-9.63,10.39,1.127,24.194,3.78,3.314,0.078,50.455,39.142,20.0,4.385,0.131,0.868,3.0,3.0,0.644,97.554,97.658,99.273,19.08,-101.287,9.22,0.036,5.91
Cell_0072,01/11/2024,su_mimo_fallback,-1,0.982,19.016,-70.727,-9.756,11.114,1.19,20.033,3.448,3.379,0.092,49.674,29.187,19.0,3.539,0.127,0.897,2.0,3.0,0.71,96.117,98.137,95.607,14.847,-104.463,9.34,0.037,2.35
Cell_0072,01/12/2024,su_mimo_fallback,-1,0.962,18.967,-68.145,-9.825,12.062,1.089,22.419,3.489,4.253,0.079,40.091,23.956,17.0,3.793,0.116,0.868,1.0,2.0,0.659,96.561,97.699,99.109,20.656,-105.133,11.08,0.031,0.87
Cell_0072,01/13/2024,su_mimo_fallback,-1,0.816,19.771,-71.395,-10.188,11.003,1.031,21.226,4.421,4.613,0.073,38.696,21.054,14.0,2.768,0.117,0.86,1.0,3.0,0.632,96.06,97.608,97.655,16.34,-103.859,10.675,0.029,3.27
Cell_0072,01/14/2024,su_mimo_fallback,-1,0.782,18.753,-67.128,-9.175,11.27,1.097,20.197,4.989,3.897,0.077,27.836,22.929,17.0,2.944,0.1,0.932,1.0,1.0,0.678,96.851,97.108,98.729,12.503,-105.457,10.271,0.026,1.85
Cell_0072,01/15/2024,su_mimo_fallback,-1,1.0,19.435,-70.792,-9.677,11.327,1.138,19.872,4.718,3.778,0.073,47.009,25.052,16.0,3.816,0.112,0.893,4.0,4.0,0.63,96.862,95.492,98.169,21.49,-104.878,9.956,0.03,2.44
Cell_0072,01/16/2024,su_mimo_fallback,-1,1.0,17.544,-73.73,-9.64,11.363,1.138,20.125,4.973,4.628,0.074,33.7,34.425,21.0,3.044,0.128,0.87,4.0,7.0,0.649,96.305,97.973,100.0,20.64,-101.021,9.987,0.035,0.5
Cell_0072,01/17/2024,su_mimo_fallback,-1,0.955,20.727,-74.141,-9.476,9.933,1.0,20.291,4.561,3.724,0.073,45.823,29.894,17.0,3.743,0.116,0.889,3.0,0.0,0.575,97.725,98.147,98.654,15.45,-101.76,9.933,0.028,5.83
Cell_0072,01/18/2024,su_mimo_fallback,-1,0.997,21.832,-72.866,-10.18,11.626,1.088,19.741,4.06,3.725,0.075,44.912,29.833,17.0,3.527,0.128,0.889,2.0,3.0,0.641,96.713,99.602,98.799,23.873,-102.845,10.687,0.034,4.39
Cell_0072,01/19/2024,su_mimo_fallback,-1,0.986,18.634,-72.216,-8.786,11.476,1.037,22.623,3.759,3.339,0.085,39.358,25.584,19.0,3.939,0.13,0.896,1.0,3.0,0.592,96.84,98.408,99.285,19.359,-104.298,11.07,0.032,1.42
Cell_0072,01/20/2024,su_mimo_fallback,-1,0.814,17.302,-69.08,-8.994,11.147,1.25,21.209,4.434,3.968,0.062,39.801,20.493,16.0,3.017,0.129,0.901,3.0,4.0,0.657,95.668,96.6,96.763,20.539,-106.09,8.92,0.038,0.58
Cell_0072,01/21/2024,su_mimo_fallback,-1,0.803,20.816,-68.221,-9.777,12.015,1.116,21.746,3.053,3.256,0.081,37.426,24.097,21.0,3.245,0.123,0.89,2.0,4.0,0.684,97.26,95.597,99.29,18.063,-101.71,10.767,0.033,2.79
Cell_0072,01/22/2024,su_mimo_fallback,-1,1.0,18.982,-72.535,-9.907,11.838,1.041,19.753,3.711,3.365,0.079,42.159,29.403,17.0,4.244,0.114,0.924,0.0,3.0,0.66,97.101,95.318,98.014,23.583,-107.963,11.372,0.029,1.23
Cell_0072,01/23/2024,su_mimo_fallback,-1,1.0,18.641,-70.485,-9.448,11.377,1.083,22.75,3.599,3.445,0.091,49.747,25.282,21.0,3.12,0.12,0.825,2.0,3.0,0.706,96.61,97.642,97.547,19.889,-99.468,10.508,0.031,1.58
Cell_0072,01/24/2024,su_mimo_fallback,-1,1.0,19.388,-71.237,-9.213,10.795,1.149,20.543,4.843,3.904,0.075,46.009,28.849,21.0,3.658,0.106,0.927,1.0,4.0,0.761,97.563,98.204,99.031,20.264,-102.849,9.393,0.029,3.2
Cell_0072,01/25/2024,su_mimo_fallback,-1,1.0,17.884,-72.376,-8.906,10.96,1.0,22.873,3.238,3.435,0.089,48.239,28.856,20.0,3.469,0.098,0.895,2.0,3.0,0.651,97.309,98.012,96.764,21.333,-101.367,10.96,0.024,1.44
Cell_0072,01/26/2024,su_mimo_fallback,-1,0.943,20.215,-70.731,-9.445,11.041,1.0,21.791,4.65,4.073,0.07,42.33,29.38,23.0,4.265,0.12,0.845,4.0,2.0,0.661,97.764,97.918,99.148,19.363,-103.618,11.041,0.029,3.65
Cell_0072,01/27/2024,su_mimo_fallback,-1,0.817,17.824,-70.194,-9.693,11.509,1.107,20.004,4.318,3.073,0.074,37.271,28.686,17.0,3.938,0.111,0.921,3.0,1.0,0.623,97.808,98.948,98.071,17.457,-105.478,10.397,0.029,0.56
Cell_0072,01/28/2024,su_mimo_fallback,-1,0.822,17.934,-65.88,-9.693,11.097,1.074,21.686,4.326,3.411,0.082,44.008,18.878,18.0,3.177,0.11,0.892,4.0,3.0,0.558,97.888,97.976,98.127,16.1,-102.103,10.334,0.028,1.29
Cell_0072,01/29/2024,su_mimo_fallback,-1,1.0,17.916,-66.978,-10.678,11.277,1.0,21.182,3.795,3.655,0.084,43.691,31.329,18.0,4.075,0.116,0.912,0.0,6.0,0.664,98.815,96.679,96.021,15.692,-109.53,11.277,0.028,1.0
Cell_0072,01/30/2024,su_mimo_fallback,-1,0.995,19.78,-68.133,-9.97,10.316,1.018,19.986,3.185,3.693,0.076,47.434,26.862,16.0,2.979,0.128,0.865,3.0,5.0,0.693,97.318,97.046,99.11,18.641,-106.948,10.137,0.032,4.31
Cell_0073,01/01/2024,su_mimo_fallback,-1,0.994,17.842,-68.568,-8.851,10.922,1.708,25.645,3.847,3.181,0.078,59.052,45.525,22.0,7.799,0.114,0.865,4.0,1.0,0.777,97.416,98.189,98.62,30.242,-109.268,6.395,0.047,1.46
Cell_0073,01/02/2024,su_mimo_fallback,-1,0.959,17.597,-75.212,-9.231,11.447,1.635,25.152,3.035,2.796,0.07,69.373,37.217,28.0,6.225,0.149,0.876,0.0,2.0,0.877,99.487,96.085,100.0,30.124,-105.744,7.001,0.059,0.43
Cell_0073,01/03/2024,su_mimo_fallback,-1,1.0,16.657,-67.351,-9.178,12.516,1.721,24.252,3.222,2.416,0.079,69.533,52.708,23.0,7.15,0.125,0.853,2.0,3.0,0.894,98.292,97.703,98.098,31.968,-103.716,7.272,0.052,-2.12
Cell_0073,01/04/2024,su_mimo_fallback,-1,1.0,16.231,-67.883,-10.064,11.8,1.357,26.035,1.898,1.877,0.089,74.496,39.818,24.0,4.848,0.138,0.895,3.0,1.0,0.947,98.551,98.345,97.899,33.255,-103.989,8.693,0.046,-1.47
Cell_0073,01/05/2024,su_mimo_fallback,-1,0.899,14.69,-67.915,-9.402,11.231,1.684,24.959,3.2,2.603,0.091,59.1,33.859,20.0,6.648,0.138,0.839,3.0,4.0,0.983,98.57,97.956,98.652,29.033,-108.684,6.667,0.056,-2.16
Cell_0073,01/06/2024,su_mimo_fallback,-1,0.808,16.359,-63.865,-9.359,13.056,1.572,25.719,2.676,2.275,0.071,58.59,35.1,24.0,5.977,0.144,0.839,3.0,4.0,0.822,99.013,100.0,100.0,25.668,-102.122,8.307,0.055,-3.23
Cell_0073,01/07/2024,su_mimo_fallback,-1,0.775,15.99,-66.473,-9.419,11.273,1.566,23.045,2.489,2.35,0.077,36.894,35.593,23.0,3.945,0.114,0.881,2.0,1.0,1.0,99.928,98.358,97.434,23.227,-104.103,7.198,0.043,-0.92
Cell_0073,01/08/2024,su_mimo_fallback,-1,1.0,16.784,-69.089,-9.702,12.008,1.331,25.177,2.781,3.218,0.086,62.246,43.716,29.0,8.311,0.142,0.886,0.0,5.0,0.853,97.643,97.677,98.572,35.637,-100.717,9.019,0.046,-1.23
Cell_0073,01/09/2024,su_mimo_fallback,-1,1.0,15.344,-70.42,-8.349,12.668,1.399,25.577,2.896,3.091,0.075,59.452,43.553,28.0,8.176,0.125,0.827,1.0,1.0,0.847,99.116,98.536,100.0,32.945,-99.318,9.057,0.042,-3.66
Cell_0073,01/10/2024,su_mimo_fallback,-1,0.992,16.472,-71.104,-8.967,12.62,1.447,22.809,3.546,1.553,0.09,69.429,44.654,21.0,7.107,0.152,0.857,3.0,2.0,0.854,98.669,96.655,97.851,30.94,-103.967,8.723,0.053,-2.46
Cell_0073,01/11/2024,su_mimo_fallback,-1,1.0,16.958,-69.169,-8.844,12.436,1.512,24.295,2.265,2.538,0.079,60.584,42.535,23.0,6.555,0.133,0.875,1.0,4.0,0.745,98.996,98.92,98.023,30.147,-102.104,8.222,0.049,-1.7
Cell_0073,01/12/2024,su_mimo_fallback,-1,0.953,16.852,-66.941,-9.188,11.646,1.464,21.858,2.51,2.466,0.065,68.406,41.804,20.0,6.344,0.111,0.859,2.0,4.0,0.853,100.0,97.445,99.445,31.14,-104.256,7.954,0.04,-0.62
Cell_0073,01/13/2024,su_mimo_fallback,-1,0.802,16.006,-73.693,-8.615,12.538,1.455,22.079,3.509,2.534,0.084,56.595,36.53,22.0,6.966,0.142,0.869,4.0,4.0,0.975,97.476,99.024,100.0,25.451,-110.817,8.619,0.05,-2.8
Cell_0073,01/14/2024,su_mimo_fallback,-1,0.787,17.346,-68.325,-9.669,12.143,1.404,24.315,2.415,2.205,0.088,48.355,29.126,26.0,6.982,0.141,0.854,2.0,3.0,0.916,99.292,98.332,100.0,20.336,-113.363,8.649,0.048,-0.87
Cell_0073,01/15/2024,su_mimo_fallback,-1,0.962,14.869,-65.778,-8.835,12.428,1.404,27.039,2.137,2.407,0.072,64.446,39.574,26.0,6.147,0.11,0.856,4.0,2.0,0.899,99.778,98.553,98.383,26.811,-107.667,8.851,0.038,-3.77
Cell_0073,01/16/2024,su_mimo_fallback,-1,0.992,16.142,-70.772,-9.78,13.13,1.28,27.152,4.022,2.011,0.076,63.531,44.861,30.0,5.107,0.135,0.862,0.0,4.0,0.908,97.704,97.398,97.6,36.298,-104.625,10.256,0.042,-3.55
Cell_0073,01/17/2024,su_mimo_fallback,-1,0.995,16.473,-68.442,-9.206,11.263,1.601,23.957,2.471,2.781,0.075,65.836,35.586,26.0,6.786,0.146,0.823,2.0,4.0,0.972,98.45,96.819,97.914,32.858,-110.655,7.036,0.057,-0.42
Cell_0073,01/18/2024,su_mimo_fallback,-1,0.982,15.831,-70.653,-9.227,12.413,1.368,23.01,2.898,2.77,0.084,69.051,42.861,25.0,8.154,0.132,0.849,2.0,5.0,0.821,98.182,96.801,97.452,28.668,-105.939,9.074,0.044,-2.79
Cell_0073,01/19/2024,su_mimo_fallback,-1,1.0,16.677,-75.32,-9.185,12.236,1.358,25.761,2.873,2.999,0.073,63.29,40.137,22.0,6.281,0.114,0.913,1.0,2.0,0.947,100.0,96.26,98.605,30.211,-103.326,9.011,0.037,-1.68
Cell_0073,01/20/2024,su_mimo_fallback,-1,0.859,16.98,-70.133,-9.225,12.82,1.26,21.469,3.589,2.127,0.079,46.894,35.326,23.0,5.052,0.139,0.852,1.0,3.0,0.887,98.696,97.564,99.185,24.358,-110.918,10.172,0.042,-2.25
Cell_0073,01/21/2024,su_mimo_fallback,-1,0.786,13.85,-70.849,-10.238,13.427,1.251,23.813,3.008,2.504,0.071,54.485,33.253,22.0,7.031,0.134,0.891,4.0,2.0,0.827,97.11,97.365,98.722,23.293,-102.77,10.733,0.041,-6.29
Cell_0073,01/22/2024,su_mimo_fallback,-1,1.0,17.549,-65.851,-9.418,13.404,1.483,23.308,3.113,3.144,0.079,72.439,35.539,28.0,5.442,0.123,0.872,0.0,0.0,0.916,100.0,98.931,98.044,35.514,-105.075,9.041,0.044,-2.56
Cell_0073,01/23/2024,su_mimo_fallback,-1,1.0,15.259,-66.652,-9.266,12.74,1.388,24.277,3.303,2.162,0.08,54.303,39.792,25.0,8.436,0.12,0.851,1.0,2.0,0.889,100.0,96.928,99.461,30.939,-105.944,9.177,0.04,-3.85
Cell_0073,01/24/2024,su_mimo_fallback,-1,1.0,17.139,-70.79,-9.463,11.696,1.314,26.417,3.348,2.042,0.076,65.184,47.718,25.0,7.004,0.134,0.88,1.0,3.0,0.826,99.613,100.0,99.055,34.788,-109.927,8.898,0.043,-0.41
Cell_0073,01/25/2024,su_mimo_fallback,-1,1.0,15.098,-64.444,-9.955,11.825,1.298,20.613,3.389,2.515,0.064,59.327,33.903,24.0,6.897,0.114,0.902,2.0,2.0,0.807,98.483,96.959,99.005,37.803,-103.731,9.111,0.036,-2.64
Cell_0073,01/26/2024,su_mimo_fallback,-1,0.978,16.385,-65.987,-9.395,12.657,1.248,24.857,3.582,2.827,0.1,71.181,47.893,22.0,7.261,0.128,0.835,3.0,5.0,0.852,97.607,97.051,99.318,29.458,-105.412,10.143,0.039,-2.6
Cell_0073,01/27/2024,su_mimo_fallback,-1,0.76,16.417,-68.655,-8.946,11.196,1.191,24.906,2.668,2.165,0.085,55.632,30.232,21.0,5.224,0.141,0.893,4.0,5.0,0.847,98.443,96.49,98.845,20.312,-112.657,9.399,0.041,-0.38
Cell_0073,01/28/2024,su_mimo_fallback,-1,0.805,15.666,-67.061,-8.539,11.962,1.359,24.314,2.546,3.104,0.075,48.402,31.974,14.0,5.546,0.145,0.901,1.0,3.0,0.969,99.608,97.949,98.416,26.782,-105.217,8.8,0.048,-2.28
Cell_0073,01/29/2024,su_mimo_fallback,-1,0.975,15.341,-70.528,-9.3,11.595,1.283,24.83,2.762,2.076,0.084,55.39,41.517,18.0,5.902,0.119,0.899,2.0,1.0,0.868,98.503,97.625,97.332,27.797,-108.952,9.035,0.037,-2.05
Cell_0073,01/30/2024,su_mimo_fallback,-1,0.983,19.048,-74.65,-9.343,11.276,1.363,25.156,2.634,2.644,0.089,65.909,47.452,22.0,6.478,0.106,0.896,2.0,1.0,0.856,98.141,97.834,98.231,31.102,-108.138,8.272,0.035,2.13
Cell_0074,01/01/2024,beam_misalignment,-1,1.0,8.31,-97.773,-10.63,7.291,2.227,12.061,14.391,11.661,0.212,26.329,25.782,13.0,1.75,0.24,0.742,7.0,16.0,0.489,90.347,97.865,90.031,27.765,-101.236,3.273,0.115,-2.63
Cell_0074,01/02/2024,beam_misalignment,-1,1.0,8.638,-86.954,-10.811,7.199,1.873,13.322,14.094,12.168,0.187,34.142,27.17,12.0,1.855,0.245,0.723,8.0,18.0,0.526,88.241,91.975,89.417,22.246,-97.979,3.844,0.099,-2.16
Cell_0074,01/03/2024,beam_misalignment,-1,1.0,6.955,-82.497,-10.477,6.689,1.694,12.631,11.081,13.119,0.17,25.824,33.371,14.0,1.227,0.258,0.668,12.0,12.0,0.486,89.218,99.477,86.469,25.727,-94.222,3.948,0.097,-3.08
Cell_0074,01/04/2024,beam_misalignment,-1,0.974,8.926,-87.452,-11.99,7.951,2.042,13.787,10.299,9.803,0.252,24.326,25.735,14.0,1.466,0.246,0.739,11.0,21.0,0.563,89.09,97.343,91.633,23.197,-104.571,3.893,0.113,-3.0
Cell_0074,01/05/2024,beam_misalignment,-1,0.951,9.321,-86.456,-11.674,5.946,1.6,11.992,15.955,10.364,0.227,30.132,26.962,12.0,1.797,0.249,0.765,12.0,24.0,0.464,89.673,96.112,89.542,19.333,-100.256,3.717,0.084,0.4
Cell_0074,01/06/2024,beam_misalignment,-1,0.764,8.39,-87.472,-12.158,7.484,1.036,14.083,37.154,13.916,0.213,24.932,21.902,11.0,1.138,0.239,0.833,14.0,24.0,0.501,89.714,95.525,89.015,17.485,-100.061,7.221,0.039,-2.84
Cell_0074,01/07/2024,beam_misalignment,-1,0.792,7.756,-88.452,-9.854,6.295,1.989,16.703,31.197,12.365,0.201,22.853,18.656,8.0,1.532,0.278,0.667,16.0,17.0,0.514,94.188,97.391,89.417,18.409,-100.075,3.164,0.095,-1.69
Cell_0074,01/08/2024,beam_misalignment,-1,0.988,8.89,-92.553,-12.483,7.127,1.726,13.952,11.665,17.028,0.203,27.172,27.149,8.0,1.775,0.234,0.748,10.0,21.0,0.503,89.08,93.409,88.807,21.301,-103.226,4.13,0.089,-1.8
Cell_0074,01/09/2024,beam_misalignment,-1,1.0,8.278,-89.974,-10.14,7.454,2.153,15.265,13.054,14.452,0.215,29.177,27.034,13.0,1.419,0.23,0.834,13.0,10.0,0.447,88.525,96.594,87.316,18.839,-102.64,3.463,0.108,-2.9
Cell_0074,01/10/2024,beam_misalignment,-1,0.994,9.256,-92.821,-10.803,6.224,2.086,13.272,10.175,13.998,0.235,30.527,27.845,12.0,1.801,0.29,0.749,14.0,21.0,0.418,92.533,96.337,88.598,22.062,-103.842,2.984,0.136,-0.08
Cell_0074,01/11/2024,beam_misalignment,-1,0.984,8.538,-85.209,-11.858,6.385,1.813,12.135,13.55,14.075,0.183,29.621,28.476,11.0,1.885,0.268,0.765,10.0,15.0,0.534,87.475,99.185,88.939,18.843,-101.378,3.522,0.105,-1.04
Cell_0074,01/12/2024,beam_misalignment,-1,0.942,6.695,-85.471,-12.167,7.054,2.042,13.037,10.639,12.776,0.203,26.056,28.386,11.0,1.71,0.275,0.725,6.0,19.0,0.497,90.846,95.047,87.943,23.417,-100.162,3.455,0.125,-3.89
Cell_0074,01/13/2024,beam_misalignment,-1,0.754,6.519,-87.9,-11.202,6.093,1.544,14.28,8.325,14.565,0.191,19.665,19.147,7.0,1.403,0.267,0.766,9.0,19.0,0.488,90.311,95.832,86.494,18.76,-105.844,3.945,0.094,-2.62
Cell_0074,01/14/2024,beam_misalignment,-1,0.802,7.915,-98.012,-11.348,7.226,2.029,13.494,11.395,13.029,0.175,22.99,23.347,9.0,1.023,0.348,0.619,9.0,12.0,0.528,89.701,95.619,88.145,15.855,-100.521,3.562,0.157,-2.92
Cell_0074,01/15/2024,beam_misalignment,-1,1.0,8.906,-89.217,-10.863,6.852,1.511,13.063,11.004,13.794,0.185,26.798,25.746,15.0,2.305,0.276,0.686,8.0,15.0,0.526,88.832,94.757,89.485,23.569,-100.642,4.536,0.093,-1.37
Cell_0074,01/16/2024,beam_misalignment,-1,1.0,8.101,-92.698,-12.893,7.039,1.932,14.533,16.498,12.683,0.205,31.073,25.241,14.0,2.451,0.269,0.667,13.0,13.0,0.502,88.424,98.577,87.772,19.575,-102.177,3.643,0.109,-2.46
Cell_0074,01/17/2024,beam_misalignment,-1,0.997,8.94,-92.276,-11.32,6.291,2.081,13.408,16.241,15.472,0.193,33.073,32.53,14.0,2.084,0.287,0.71,14.0,15.0,0.515,91.459,93.88,89.735,22.254,-105.159,3.022,0.125,-0.5
Cell_0074,01/18/2024,beam_misalignment,-1,1.0,7.956,-86.612,-11.858,6.256,1.988,11.35,10.806,11.58,0.201,28.026,22.733,12.0,1.752,0.286,0.74,10.0,23.0,0.459,92.36,92.84,87.28,21.466,-106.935,3.146,0.127,-1.43
Cell_0074,01/19/2024,beam_misalignment,-1,0.929,10.278,-83.736,-10.174,5.845,2.311,14.342,12.785,9.03,0.217,30.198,24.458,12.0,1.502,0.307,0.708,11.0,17.0,0.51,89.172,96.214,87.731,22.925,-109.011,2.529,0.155,1.51
Cell_0074,01/20/2024,beam_misalignment,-1,0.79,8.36,-81.781,-10.853,6.985,1.687,13.839,29.255,12.171,0.228,27.269,22.434,12.0,1.283,0.281,0.788,12.0,17.0,0.409,90.029,94.359,84.741,14.861,-107.676,4.14,0.084,-2.12
Cell_0074,01/21/2024,beam_misalignment,-1,0.801,8.75,-86.2,-11.57,5.978,2.007,15.056,16.558,16.138,0.264,22.158,20.92,11.0,1.542,0.289,0.681,10.0,14.0,0.486,88.305,96.233,88.521,20.911,-107.89,2.979,0.121,-0.22
Cell_0074,01/22/2024,beam_misalignment,-1,0.983,7.703,-81.339,-10.061,6.581,1.332,14.058,9.436,14.777,0.219,30.292,27.717,14.0,1.965,0.3,0.743,8.0,24.0,0.521,90.508,96.959,84.188,26.332,-99.927,4.942,0.091,-2.17
Cell_0074,01/23/2024,beam_misalignment,-1,1.0,8.164,-93.356,-11.514,7.323,1.762,12.714,13.885,15.462,0.185,29.813,24.039,8.0,1.554,0.311,0.695,8.0,24.0,0.45,89.304,96.026,87.905,22.935,-112.893,4.155,0.118,-2.82
Cell_0074,01/24/2024,beam_misalignment,-1,1.0,8.941,-91.444,-11.254,8.07,1.818,13.963,15.468,13.401,0.227,26.397,22.645,14.0,1.717,0.26,0.781,10.0,16.0,0.492,90.725,95.792,88.371,19.571,-101.912,4.439,0.1,-3.16
Cell_0074,01/25/2024,beam_misalignment,-1,1.0,8.481,-88.019,-10.961,7.03,1.157,13.366,11.917,13.405,0.192,29.756,25.34,12.0,2.047,0.226,0.772,10.0,10.0,0.499,90.153,91.798,87.833,17.476,-107.689,6.074,0.058,-2.06
Cell_0074,01/26/2024,beam_misalignment,-1,0.914,6.15,-84.804,-10.462,6.864,1.892,13.793,13.026,11.922,0.183,25.991,25.772,9.0,1.55,0.22,0.779,9.0,11.0,0.441,88.08,96.818,85.486,24.141,-99.601,3.628,0.091,-4.15
Cell_0074,01/27/2024,beam_misalignment,-1,0.799,8.945,-85.492,-11.163,5.889,2.141,14.964,15.03,12.016,0.215,22.479,21.809,11.0,1.399,0.292,0.718,6.0,11.0,0.539,90.546,96.122,89.237,23.09,-95.764,2.751,0.133,0.11
Cell_0074,01/28/2024,beam_misalignment,-1,0.774,9.039,-84.343,-10.062,6.478,1.658,12.997,10.825,13.193,0.234,22.473,22.87,10.0,1.609,0.282,0.719,4.0,20.0,0.5,90.239,99.336,90.566,18.167,-101.015,3.907,0.104,-0.68
Cell_0074,01/29/2024,beam_misalignment,-1,1.0,9.143,-86.883,-11.487,6.506,1.81,13.152,14.219,13.175,0.186,28.21,23.812,13.0,2.036,0.231,0.826,13.0,12.0,0.403,89.249,97.924,91.382,20.082,-98.891,3.595,0.09,-0.62
Cell_0074,01/30/2024,beam_misalignment,-1,1.0,9.457,-87.392,-11.94,7.07,1.676,10.316,9.965,12.937,0.208,33.692,26.17,11.0,1.93,0.275,0.639,9.0,16.0,0.489,91.878,92.909,87.815,20.272,-100.419,4.219,0.104,-1.15
Cell_0075,01/01/2024,beam_misalignment,-1,0.958,13.187,-83.985,-10.579,6.815,1.799,15.265,14.926,15.634,0.21,40.362,26.382,8.0,2.201,0.274,0.648,8.0,12.0,0.643,94.578,93.55,85.323,26.783,-105.528,3.788,0.105,2.96
Cell_0075,01/02/2024,beam_misalignment,-1,1.0,14.284,-84.369,-11.33,6.279,1.318,15.639,10.51,13.484,0.177,48.422,27.225,9.0,1.936,0.349,0.647,12.0,20.0,0.512,98.827,91.187,88.964,22.997,-98.079,4.765,0.103,4.87
